SECTION,PRE-VISIT CONTACT STRATEGY — uMODA Quote Transparency Platform,,,,,,,,,,,,,,,,,,,,
25,A+ Auto Repair Inc,Bissonnet West Corridor,No,MEDIUM,C,None confirmed,"13001 Bissonnet St, Houston TX 77099",(281) 530-7574,TBD,TBD,Yelp profile,Shaji (owner),General repair,2007 (19 yrs),6,"6 bays. Reviews specifically emphasize ethics. Shaji is the named owner. High ethical orientation = strong fit for a transparency platform. This shop's identity is built on integrity — uMODA reinforces that identity externally.","D10 (comm breakdown); D13 (verbal estimate); D8 (auth documentation)","Phone → Visit — ask for Shaji","Reviews cite ethics by name — not just quality or price. An owner whose reviews use the word 'ethics' has already done the marketing uMODA is built around. The platform just creates the evidence trail that makes that claim verifiable.","'Hi — is Shaji available? We read reviews about your shop that use words like ethics — that's unusual in this market. We're building something for shops that already operate that way. 15 minutes?'","Ethics-as-brand documentation; 6-bay scale use case; named-owner warm phone intro"
26,R&T Motors LLC,Bissonnet East Corridor,No,MEDIUM,C,None confirmed,"9651 Bissonnet St Ste 202, Houston TX 77036",TBD,TBD,TBD,TBD,Mounir (owner),General repair,2006 (20 yrs),6,"6 bays adjacent to Tireman. Mounir is named owner. Decent reviews.","D10 (comm breakdown); D8 (auth documentation)","Walk-in — ask for Mounir","6-bay operation with a named owner and a 20-year presence. Solid mid-tier target.","'Hi — is Mounir available? We're visiting shops in the Bissonnet cluster. 15 minutes?'","6-bay authorization workflow; named-owner warm intro"
27,New Prince Autos,Bissonnet East Corridor,No,MEDIUM,C,None confirmed — AutoTechIQ listing (digital engagement platform),"9725 Bissonnet St Ste 1, Houston TX 77036",(713) 771-6700,TBD,TBD,"Yelp; Nextdoor; AutoTechIQ listing",Bilal (owner),General repair; possibly generationally owned,2002 (24 yrs),3,"Likely generationally owned. 24-year tenure. Yelp reviews name 'honesty and trust' explicitly. 3 bays. AutoTechIQ listing is a positive signal — that platform serves as a digital transparency layer shops opt into voluntarily. Bilal is named.","D10 (comm breakdown); D13 (verbal estimate)","Phone → Visit — ask for Bilal","Reviews use 'honesty and trust' as named values — not just implied. AutoTechIQ listing confirms voluntary participation in a digital transparency platform. Bilal is already oriented toward documentation-as-trust-signal.","'Hi — is Bilal available? Your reviews use words like honesty and trust — we're building something that makes those values visible to customers before they walk in. 15 minutes?'","AutoTechIQ-adjacent conversation; trust-as-brand documentation; generational-tenure story"
28,Sonny T Auto Repair,Bellaire Blvd Corridor (77072),No,MEDIUM,C,None confirmed — manual DVI behavior confirmed in review (sends post-repair photos to customer),"12161 Bellaire Blvd, Houston TX 77072",TBD,TBD,TBD,Yelp active (strong review in CSV),Dylan (per Yelp review),General repair,2019 (7 yrs),TBD,"Yelp review in CSV states: 'He communicated clearly; kept me updated; and even sent pictures of my car when the work was done so I could see the results for myself.' This is MANUAL DVI behavior — post-repair photo documentation. A platform formalizes what Dylan is already doing instinctively.","D10 (comm breakdown — Dylan already solving this manually); D13 (verbal estimate)","Phone → Visit — ask for Dylan","Dylan is doing manual photo documentation already. uMODA doesn't change his behavior — it timestamps it; structures it; and makes it customer-facing from the start of the repair rather than only at the end.","'We read a review where a customer mentioned you sent photos of the finished work — that's exactly the practice we're building around. Would you have 15 minutes to talk?'","Manual-DVI-to-platform conversion story; photo documentation workflow; trust-forward positioning candidate"
29,Lam's Auto Repair,Bellaire Blvd / S Kirkwood Corridor,No,MEDIUM,C,None confirmed,"6819 S Kirkwood Rd, Houston TX 77072",TBD,TBD,TBD,TBD,Mr. Lam (owner),General repair,2017 (9 yrs permit — reviews cite 20+ yrs operational),4,"Permit year conflicts with reviews — reviews confirm 20+ years of service. 4 bays. Mr. Lam is named. The tenure mismatch is exactly the credibility gap uMODA can help close — a documented operational history is more defensible than a permit date.","D10 (comm breakdown); D13 (verbal estimate — 20+ yr habits)","Walk-in — ask for Mr. Lam","The shop's real tenure is 20+ years but the documented record says 9. uMODA creates a verifiable operational history from day one of adoption — every customer interaction documented and timestamped adds to a record that outlasts permit data.","Walk-in: 'Hi — is Mr. Lam available? We're researching the shops in this cluster with the longest real track records. We heard you've been here for decades.'","Tenure mismatch documentation story; owner-operator warm walk-in; 4-bay authorization workflow"
30,Hi-Tek Auto Repair (Baneway cluster — 6 shops 1 pin),Bellaire Blvd / Baneway Corridor,No,MEDIUM,C,None confirmed,"6801 Baneway Dr, Houston TX 77072",TBD,TBD,TBD,TBD,Tony (Owner Operator),General repair + body + sales cluster,2015 (11 yrs),TBD,"Cluster of 6 shops at 1 pin: Hi-Tek + body shop + Canales Auto Sales + Canales Auto Repair + DSD Import Service + Y&J Bodyshop + Total Auto and Body Repair. Tony is owner-operator of Hi-Tek specifically. Complex multi-shop operation.","D10 (comm breakdown — cluster complexity amplifies); D8 (auth — multi-shop)","Walk-in — ask for Tony","Multi-shop cluster creates inherent communication complexity. Authorization gaps at a 6-shop pin are structural — uMODA creates a documentation layer that works across the cluster.","Walk-in: 'Hi — is Tony available? We're doing research on the shops in this cluster. 15 minutes?'","Multi-shop cluster authorization workflow; operational complexity use case"
31,Texas Wong Auto Repair,Bellaire Blvd / Baneway Corridor,No,MEDIUM,C,None confirmed,"7035 Baneway Dr, Houston TX 77072",TBD,TBD,TBD,Google reviews active (2 in CSV),Owner (family — generational),General repair; family owned; Chinese community anchor,2018 (8 yrs permit — reviews cite 3 generations),TBD,"Reviews describe 3 generations of service — father-in-law and current owner together. 'No nonsense about price.' Large Chinese community following built over decades. Strong trust-based relationship = high value candidate for a platform that formalizes community trust for new customers outside the network.","D10 (comm breakdown — language-community-specific service model); D13 (verbal estimate)","Walk-in — approach with patience and cultural respect","Three-generation shop with a deep community trust anchor. The challenge: that trust is relational and verbal — it doesn't translate to new customers who haven't been referred by someone in the network. uMODA creates the digital trust signal for customers outside the community.","Walk-in: 'We've heard about your shop from people in the community who've been coming here for years. We're building something that helps shops like yours share that reputation beyond the network that already knows you.'","Generational trust documentation; community-anchor story; language-specific market — underserved by most platforms"
32,European Autoworks (+ Enzo Collision — co-located),Schumacher Ln Corridor,No,MEDIUM,C,None confirmed,"5620 Schumacher Ln, Houston TX 77057",TBD,TBD,TBD,TBD,"Salim (owner — European Autoworks); Bassam (owner — Enzo Collision — co-located)",Rolls-Royce specialist + collision (co-located — separate owners),2009 (17 yrs),TBD,"Rolls-Royce specialist. Two separate owners at 1 location — Salim (Euro repair) and Bassam (collision). High-value vehicles mean authorization documentation failures carry disproportionate financial consequences. RR repairs at this level should never be undocumented.","D9 (teardown — high-value vehicle amplifies); D8 (auth — luxury vehicle); D1 (escalation risk at RR price point)","Walk-in — ask for Salim","RR specialist with no digital footprint. At Rolls-Royce repair prices, every undocumented scope revision is a potential $10K+ dispute. uMODA's authorization layer is existential for a shop at this price point — not just useful.","Walk-in: 'Hi — is Salim available? We're researching Houston's Rolls-Royce specialists. At the price point you work at, we think quote documentation is more important than anywhere else in the market.'","High-value vehicle authorization case study; RR segment is a brand differentiator for uMODA; teardown documentation premium use case"
33,Royalty Motor Cars,Schumacher Ln Corridor,No,MEDIUM,C,None confirmed,"5618 Schumacher Ln, Houston TX 77057",TBD,TBD,TBD,TBD,Lou (owner),Body repair focus,2019 (7 yrs),TBD,"Lou is the owner. Body repair focus. Cannot verify info remotely — needs in-person visit.","D9 (teardown — collision/body inherently teardown-driven); D8 (auth documentation)","Walk-in — ask for Lou","Body repair shops face teardown scenarios as a structural constant — every damaged vehicle has hidden damage potential. uMODA's teardown documentation workflow is purpose-built for collision shops.","Walk-in: 'Hi — is Lou available? We're building documentation tools specifically for body repair shops dealing with teardown scope revisions. 15 minutes?'","Collision-specific teardown documentation; body repair workflow use case"
34,MS Auto Service,Schumacher Ln Corridor,No,MEDIUM,C,None confirmed,"5709 Schumacher Ln, Houston TX 77057",TBD,TBD,TBD,TBD,Moses,General repair,2023 (3 yrs permit — reviews confirm 10+ yrs operational),3,"3 bays. Permit year does not match observed history — reviews confirm 10+ years operating. Moses is named. The permit-vs-review tenure mismatch is the core issue: reviews confirm a real track record that official data doesn't capture. uMODA creates verifiable operational history.","D13 (verbal estimate); D8 (auth documentation)","Walk-in — ask for Moses","The shop's real tenure is 10+ years but the documented record says 3. Moses is operating with a credibility gap that's not his fault. uMODA helps establish verifiable operational history — every documented transaction adds to a defensible record.","Walk-in: 'Hi — is Moses available? We heard from some people in the area that you've been here a lot longer than the records show. We're building something that helps establish that track record officially. 15 minutes?'","Tenure mismatch documentation story; credibility gap closure use case"
35,Munich Bodywerke,Schumacher Ln Corridor,No,MEDIUM,C,None confirmed,"5818 Star Ln, Houston TX 77057",TBD,TBD,TBD,TBD,Mr. Wellington,Body repair; family operated,1994 (32 yrs),TBD,"32-year family operation. Mr. Wellington is named. Cannot confirm bays. Long-tenure shops have deeply embedded verbal processes — the pain of D10 and D13 is proportionally higher when habits are older and undocumented. Verification gap on address.","D10 (comm breakdown — 32yr verbal habits); D13 (verbal estimate substitution)","Walk-in — show respect for tenure — ask for Mr. Wellington","32-year family shop operating on reputation and relationships. The risk: verbal habits built over 32 years are the exact vulnerability that quote disputes exploit. One written-estimate-free scope revision can unravel decades of goodwill.","Walk-in: 'Hi — is Mr. Wellington available? 32 years is a remarkable tenure. We're building something that helps shops with your kind of track record protect it going forward.'","Longest Schumacher tenure; verbal-to-written transition story; family-operated documentation"
36,New Auto Body Works,Richmond St Corridor,No,MEDIUM,C,None confirmed,"3501 Crossview Dr, Houston TX 77063",TBD,TBD,TBD,TBD,Nestro,Collision; 3 bays,2011 (15 yrs),3,"3 bays. Collision. Decent reviews. Nestro is named. Collision inherently involves teardown-driven scope revisions.","D9 (teardown — collision standard); D8 (auth documentation)","Walk-in — ask for Nestro","Collision shop with 15 years of operation. Teardown documentation is standard use case. Nestro is the named entry point.","Walk-in: 'Hi — is Nestro available? We're building documentation tools for collision shops specifically. 15 minutes?'","Collision teardown documentation; 3-bay authorization workflow"
37,JC's Auto Tech,Richmond St Corridor,No,MEDIUM,C,None confirmed,"9252 Westpark Dr, Houston TX 77063",TBD,TBD,TBD,TBD,Freddy,General repair,2024 (2 yrs),1 visible (possibly more),Freddy is named. 1 bay on street scan; possibly more inside. Decent Yelp reviews. New shop.,"D10 (comm breakdown); D13 (verbal estimate — new shop)","Walk-in — ask for Freddy","New shop with a named owner and positive early reviews. New shops are the highest-value onboarding opportunity — habits aren't set yet.","Walk-in: 'Hi — is Freddy available? We're looking at new shops in the Westpark area. 15 minutes?'","New shop early adoption; habit-formation opportunity; named-owner warm intro"
38,Western Auto Gear LLC,Richmond St Corridor,No,MEDIUM,C,None confirmed,"8729 Richmond Ave, Houston TX 77063",TBD,TBD,TBD,TBD,Nathan,General repair; cluster (+ Stellar Collision + AA Cars 4 Less),2025 (1 yr),TBD,"Cluster of 3 shops at 1 pin. Nathan is named. Very new — 2025 permit.","D10 (comm breakdown); D13 (verbal estimate)","Walk-in — ask for Nathan","Newest shop in the corpus. Pre-habit-formation = highest onboarding leverage.","Walk-in: 'Hi — is Nathan available? We're visiting new shops in the Richmond area. 15 minutes?'","Newest shop early adoption; cluster authorization workflow"
39,Armando Reyes Paint & Bodyshop + Mccannix,S Post Oak Corridor,No,MEDIUM,C,None confirmed,"12555 S Post Oak Rd, Houston TX 77045",TBD,TBD,TBD,TBD,"Joe Sr. or Joey (son)",Paint + body; multi-generational,2006 (20 yrs permit — reviews cite 30+ yrs operational),TBD,"Multi-generational shop. Joe Sr./Joey distinction — Joey is likely the more tech-receptive generational transfer. Reviews cite 30+ years of service. Paint and body shops have specific teardown and parts documentation needs.","D9 (teardown); D6 (parts substitution — paint/body supply chain specific); D8 (auth documentation)","Walk-in — ask for Joey first","Generational transfer shop where the next generation (Joey) is likely more tech-receptive. Frame the conversation around the generational handoff — the documentation infrastructure Joey builds now becomes the foundation of the shop's next 30 years.","Walk-in: 'Hi — is Joey available? We're talking with the next generation of family shop owners about building documentation infrastructure for the long run. 15 minutes?'","Generational transfer story; paint/body teardown documentation; Joey as change agent"
40,Berrones Auto Service (4-shop cluster),S Post Oak Corridor,No,MEDIUM,C,None confirmed,"14000 S Post Oak Rd, Houston TX 77045",TBD,TBD,TBD,TBD,Mr. Berrones (owner-operator),Collision; multi-shop cluster,2004 (22 yrs),TBD,"Cluster: Berrones + Carlos Electric + Super Fix Mechanic + Philco Auto. Mr. Berrones is owner-operator with collision focus. 22-year multi-shop operation.","D10 (comm breakdown — cluster); D9 (teardown — collision); D8 (auth documentation)","Walk-in — ask for Mr. Berrones","22-year multi-shop collision cluster with an owner-operator. Multi-shop operations multiply the communication gap problem — authorization documentation at scale is the specific need.","Walk-in: 'Hi — is Mr. Berrones available? We're looking at some of the longer-tenured multi-shop operations in the area. 15 minutes?'","Multi-shop cluster authorization; 22-yr tenure; collision teardown documentation"
41,Solgie's Alignment & Frontend Repair + Shortys,S Post Oak Corridor,No,MEDIUM ⚠️,C,None confirmed,"4213 W Orem Dr, Houston TX 77045",TBD,TBD,TBD,Google reviews active,"Solgie (owner — per business name)",Alignment + frontend + tire,2010 (16 yrs),TBD,"⚠️ SPLIT REVIEWS: One review alleges parts substitution fraud — customer claims catching owner using junkyard parts instead of new parts purchased. Another is strongly positive (25-year customer). Approach with observation. A transparency platform is ONLY valuable if the shop is committed to operating honestly. Confirm integrity before engagement.","D6 (parts substitution — alleged); D2 (phantom pricing — alleged)","Walk-in — observe before engaging","⚠️ Do not lead with a pitch. Observe the intake and parts ordering process. If the shop demonstrates genuine operational integrity, return for a second visit. If not, exclude.","Walk-in first visit: observe only. Do not present uMODA until integrity is confirmed.","Conditional — observe-first engagement; parts documentation use case if shop is legitimate"
42,Das Autohaus LLC + M Performance + Vic Auto Repair (cluster),Kuykendahl Corridor,No,MEDIUM,C,None confirmed,"17545 Kuykendahl Rd, Houston TX 77379",TBD,TBD,TBD,TBD,"Vic (owner); Jonathan (Service Advisor named)",Euro repair; multi-shop cluster,2014 (12 yrs),TBD,"6 shops at 1 pin. Das Autohaus noted as 'moved' — verify cluster status. Vic is owner; Jonathan is Service Advisor — having a named SA is a positive signal (structured front-of-house). European focus.","D10 (comm breakdown — cluster); D8 (auth — multi-shop)","Walk-in — ask for Vic or Jonathan","Multi-shop Euro cluster with a named Service Advisor. Jonathan as SA suggests a structured front-of-house intake process — exactly the layer where quote documentation should live.","Walk-in: 'Hi — is Vic or Jonathan available? We're building documentation tools for European shops operating at multi-location scale. 15 minutes?'","SA-structured intake documentation; Euro cluster authorization workflow; verify Das Autohaus move before visit"
43,One Stop Auto & Diesel Repair,Airline Dr / Aldine Corridor,No,MEDIUM ⚠️,C,None confirmed,"10202 Airline Dr #C, Houston TX 77037",TBD,TBD,TBD,Yelp active (negative review),TBD,General repair + diesel,2016 (10 yrs),TBD,"⚠️ Yelp review in CSV alleges deceptive practices — gender-targeted pricing; $220 for no parts replaced; aggressive call-avoidance after overnight vehicle hold. Approach with observation. Do not endorse without field verification of actual operations.","D1 (escalation — alleged); D10 (comm breakdown — alleged avoidance); D8 (auth — alleged)","Walk-in — observe only","⚠️ Observe-first. The complaint pattern is specific and detailed — avoidance after holding vehicle; charge without parts. This may not be a uMODA candidate if the shop is not operating honestly.","Walk-in first visit: observe only. Do not pitch.","Conditional — observe-first; diesel repair documentation if shop is legitimate"
44,Joe's Automotive Service Center,Airline Dr / Aldine Corridor,No,MEDIUM,C,None confirmed,"658 Aldine Mail Rd, Houston TX 77037",TBD,TBD,TBD,Google reviews active,Joe (per business name),General repair; 4+ bays,2004 (22 yrs),4+,"22-year operation. Joe is named. Split reviews — some cite overcharging on labor/parts; others positive. Warranty honoring issue documented in CSV.","D10 (comm breakdown); D7 (labor hour dispute — documented); D1 (escalation)","Walk-in — ask for Joe","22-year shop with split reviews including a warranty-related dispute. The shop honored the warranty eventually — that's a positive signal. uMODA would have prevented the dispute from occurring at all by documenting the scope upfront.","Walk-in: 'Hi — is Joe available? We're researching long-tenured shops in the Aldine area. 22 years is significant. 15 minutes?'","Warranty documentation workflow; 22-yr tenure with split reviews — transparency narrows the gap"
,,,,,,,,,,,,,,,,,,,,,,
EXTERNAL TEKMETRIC USERS — OUTSIDE DEFINED CORRIDORS,,,,,,,,,,,,,,,,,,,,,
45,ABR Houston European Repair Specialists,OUTSIDE CORRIDOR — The Woodlands + Houston West (Energy Corridor),YES — The Woodlands (primary); West Houston Energy Corridor (secondary),EXTERNAL / HIGH relevance,A,CONFIRMED TekMetric User,"The Woodlands: 8498 Miller Rd, The Woodlands TX 77354 | Houston West: 16510 Park Row Blvd, Houston TX 77084","The Woodlands: (832) 797-9114 | Houston West: (281) 579-9035",Contact form on abrhouston.com (email required),abrhouston.com ✅,"Instagram active (primary social); online appointment request form live (abrhouston.com/request-appointment)","Owner TBD — contact via website form","Euro specialist: BMW, Mercedes, Audi, Porsche, VW, MINI, Rolls-Royce","Operating — multi-year",TBD,"Family owned. Online coupon system (email-triggered). Loaner vehicles; rideshare; shuttle options. Two locations = multi-site authorization coordination. Confirmed TekMetric user. Often 20% below dealer pricing — cost-advantage positioning. OEM parts and procedures.","D8 (multi-location auth coordination); D10 (comm breakdown across locations); D9 (Euro teardown at premium price points)","Email via website form (choose location) → Phone","Confirmed TekMetric user with two locations — the conversation is about the quote-to-authorization layer that TM doesn't fully address. Multi-location operations multiply the authorization coordination challenge. Euro specialist at dealer-alternative pricing creates high-stakes documentation need.","Email via website form: 'We're connecting with Houston's leading Euro specialists who are already on TekMetric. We're building the complementary quote-to-authorization layer. Would you have 20 minutes?'","Multi-location TekMetric workflow gap; Euro specialist dealer-alternative positioning; complementary platform conversation; potential testimonial anchor for the TM-adjacent market"
46,Clutch Automotive (6 locations),Kuykendahl Corridor (Spring location) + OUTSIDE CORRIDORS (5 other locations),Kuykendahl location is IN corridor. 5 other locations OUTSIDE defined corridors.,"EXTERNAL (multi-location) / HIGH relevance, already in Low Priority in Kuykendahl",A,"CONFIRMED TekMetric User — also operates ShopGenie website (ShopGenie is TekMetric's customer engagement platform subsidiary)","N Shepherd: 4610 N Shepherd Dr, Houston TX 77018 | Dairy Ashford: 1301 S Dairy Ashford Rd, Houston TX 77077 | Spring-Kuykendahl: 19226 Kuykendahl Rd | Friendswood: 206 S Friendswood Dr | Katy-Mason: 1140 S Mason Rd, Katy TX 77450","N Shepherd: (713) 695-5071 | Dairy Ashford: (281) 584-0200 | General: (833) 515-1764 (Loyalty Roadside)",TBD — via website,clutchautomotive.com ✅ (also clutch-automotive.shopgenie.site — ShopGenie = TekMetric subsidiary),"LinkedIn: Clutch Automotive | Facebook: @CLUTCHCITYMOTORS","Lee or Ryan (technicians cited); chain management TBD","AAA Approved; general repair; multi-location chain; formerly 'Dan's Automotive' (est. 1991)",2023 (3 yrs permit — formerly Dan's Automotive 1991 — 35+ yr real history),TBD,"6-location chain. AAA Approved. ShopGenie website = TekMetric ecosystem is CONFIRMED — ShopGenie is TekMetric's own customer-facing engagement platform. Multi-location chain means authorization coordination and documentation consistency across shops is a structural need. This is a STRATEGIC conversation — not acquisition.","D8 (multi-location auth consistency); D10 (comm breakdown across 6 sites); D1 (escalation risk at chain scale)","Email via website → LinkedIn outreach to management","6-location chain confirmed in TekMetric ecosystem (ShopGenie). This is a peer-level strategic conversation about how uMODA's quote-to-authorization layer works across multi-site operations where TekMetric already runs the DVI and RO workflow. Not an acquisition — a complement.","Email: 'We're connecting with multi-location shops already in the TekMetric ecosystem. Clutch Automotive came up immediately — 6 locations and ShopGenie. We're building the authorization documentation layer between estimate and bill. 20 minutes with the right person?'","Multi-location TekMetric workflow integration; AAA-chain documentation standard; ShopGenie-to-uMODA pipeline conversation; strongest multi-location case study candidate in the corpus"
47,Collins Auto Care,OUTSIDE CORRIDOR — NW Houston (Bammel),YES — NW Houston; outside all defined field corridors,EXTERNAL / HIGH relevance,A,"CONFIRMED TekMetric User — Mike Collins is a TekMetric Community Leader; shop is a featured TekMetric case study ('Say Yes — The Collins Auto Care Tekmetric Story')","12125 Bammel North Houston Rd, Houston TX 77066",(281) 895-7500,TBD — via website or LinkedIn,collinsautocare.com ✅,"Facebook: @CollinsAutomotiveHouston; LinkedIn: Mike Collins","Mike Collins (owner — TekMetric Community Leader; LinkedIn active)","Full-service; family owned; ASE certified; hometown feel positioning","Operating — established",TBD,"Family owned. ASE Certified. TekMetric Community Leader = Mike Collins is an advocate and influencer within the TekMetric user community. He has already given TekMetric a public endorsement and case study feature. This is NOT an acquisition conversation — this is a peer conversation with a platform champion who can amplify uMODA within the TekMetric community.","D8 (auth gap beyond TM DVI); D10 (comm breakdown — what TM doesn't cover)","LinkedIn outreach to Mike Collins → Phone","Mike Collins is a TekMetric Community Leader who has already made a public case for tech adoption. He understands the platform gap better than almost anyone. The uMODA conversation with Mike is: 'Here's what TekMetric doesn't do — and here's what we do.' He's the ideal early community validator.","LinkedIn to Mike Collins: 'Hi Mike — saw your TekMetric case study. We're building the quote-to-authorization layer that complements what TekMetric does. You're exactly the kind of shop owner we want to talk to first. 20 minutes?'","TekMetric community champion; case study amplifier; potential community validator and early adopter; strongest single referral contact in the external TekMetric segment"
48,The Garagisti,OUTSIDE CORRIDOR — Houston NW + Katy,YES — Houston (primary); Katy (second location); both outside defined field corridors,EXTERNAL / HIGH relevance,A,"CONFIRMED TekMetric User — featured in TekMetric success story: 'Garagisti Transforms Its Customer Experience with Tekmetric' on tekmetric.com","Houston: 10608 Hempstead Rd, Houston TX 77092 | Katy: 535 W Grand Pkwy S, Katy TX 77494","Houston: (832) 737-8206 | Katy: TBD","s[***]@thegaragisti.com (ZoomInfo partial — domain confirmed; contact via website form)",thegaragisti.com ✅,"Facebook: @TheGaragistiHouston; YouTube (Sam Craven interview on TekMetric usage); Nextdoor active","Sam Craven (owner — confirmed by name in TekMetric case study and YouTube interview)","Euro specialist; 2 locations",Operating — multi-year,TBD,"TekMetric success story — 'from the shop's beginning, Sam strategically leveraged TekMetric to elevate his customer experience.' Sam Craven is a named TekMetric advocate with a YouTube interview about his platform use. Euro specialist with 2 locations. This is a STRATEGIC PEER conversation — Sam is already a public platform champion.","D8 (multi-location auth beyond TM scope); D10 (comm breakdown across 2 sites)","Email via website form OR contact via Facebook → Ask for Sam","Sam Craven built Garagisti around TekMetric from day one and has publicly documented why. He is the ideal person to validate what uMODA does BEYOND what TekMetric does. This conversation is about the gap between DVI-close and final-bill-delivery — and whether Sam feels it.","Email or FB: 'Hi Sam — we watched your interview about how you use TekMetric at Garagisti. We're building the layer that lives between the DVI approval and the final bill. Would love 20 minutes.'","TekMetric success story peer conversation; 2-location authorization gap use case; YouTube-documented platform champion; strongest Euro-specialist testimonial candidate in external segment"
49,Samuels Automotive,OUTSIDE CORRIDOR — Spring TX (near Aldine Westfield Rd cluster but outside defined boundaries),YES — Spring TX; adjacent to Aldine Westfield corridor but outside defined field boundaries,EXTERNAL / MEDIUM relevance,A,CONFIRMED TekMetric User (per field research identification),"26515 Aldine Westfield Rd, Spring TX 77373",(713) 999-9326,TBD — via website or Facebook,samuels-auto.com ✅,"Facebook: Samuels Automotive active; Nextdoor; Alignable","Owner TBD — family-operated business","Family owned; full-service; all vehicle types (Euro, Asian, Domestic); fleet services; extended warranty plans","30+ years in Spring TX",TBD,"Family owned and operated for 30+ years in Spring TX. ASE and MACS certified technicians. 2-year/24K-mile nationwide warranty + free roadside assistance. Affirm financing available. Services fleet vehicles and extended warranty plans. Near Old Town Spring community anchor. Confirmed TekMetric user.","D8 (auth documentation — warranty plan coordination); D10 (comm breakdown — fleet + extended warranty complexity); D1 (escalation risk on extended warranty jobs)","Phone → Email via website","30+ year family shop with confirmed TekMetric use and complex service portfolio: fleet + extended warranty + all vehicle types. The warranty and fleet layers add authorization complexity that TekMetric's DVI doesn't fully address. uMODA fills the quote-to-auth gap specifically in those multi-party approval chains.","'Hi — we're connecting with TekMetric shops in the Spring area that also handle fleet and extended warranty work. The authorization complexity in those jobs is exactly what we're building around. 15 minutes?'","Fleet + extended warranty authorization complexity; 30-yr family shop testimonial; multi-service-type documentation use case; TekMetric adjacent community"
50,Motorwerks Auto Group (Motorwerks AG),OUTSIDE CORRIDOR — Humble TX (Houston suburb),YES — Humble TX; outside all defined field corridors,EXTERNAL / STRATEGIC,A,"CONFIRMED TekMetric User — THIS IS THE ORIGIN SHOP. Sunil Patel (TekMetric founder and CEO) built and ran Motorwerks for 11 years before founding TekMetric. The platform was designed FROM the pain Sunil experienced running this exact shop.","2006 Rotary Dr, Humble TX 77338",(346) 477-4103,Contact form on motorwerksag.com,motorwerksag.com ✅,"Facebook: @motorwerksag; LinkedIn: Sunil Patel (@motorwerks; @sunilpateltekmetric)",Sunil Patel (founder/CEO of TekMetric — shop owner; LinkedIn active),"Euro specialist; luxury and exotic vehicles; dealership alternative",Since 2007 (18+ yrs),TBD,"ORIGIN STORY SHOP. Sunil Patel ran Motorwerks for 11 years; experienced the pain of outdated shop management firsthand; and built TekMetric to solve it. In 2017 he transitioned to full-time CEO of TekMetric. The shop may now be operated by a manager or team while Sunil leads TekMetric. THIS IS THE MOST STRATEGICALLY SIGNIFICANT CONTACT IN THE EXTERNAL LIST. Approaching Sunil is not a shop visit — it is a FOUNDER-TO-FOUNDER or FOUNDER-TO-TEAM conversation about what the platform STILL does not solve.","D8 (auth gap — the problem that CREATED TekMetric); D10 (comm breakdown — the original pain point); D9 (teardown — Euro repair specific)","LinkedIn to Sunil Patel → Contact form on motorwerksag.com","Sunil Patel founded TekMetric because he lived this pain at Motorwerks. He knows every gap in the market better than anyone. The uMODA conversation with Sunil is not a pitch — it is a dialogue between builders. What did he NOT solve with TekMetric? What gap does uMODA fill that TekMetric leaves open? This is an advisory conversation first; a partnership conversation second.","LinkedIn to Sunil Patel: 'Hi Sunil — you built TekMetric because you felt the pain of running Motorwerks. We're building the quote transparency layer that lives on the customer side of that same gap. I'd love 20 minutes with you as a builder talking to a builder.'","HIGHEST-STRATEGIC-VALUE conversation in the corpus; founder-to-founder dialogue; TekMetric partnership or integration discussion; platform gap validation from the person who knows the market best; advisory relationship potential"
,,,,,,,,,,,,,,,,,,,,,,
COMMUNITY-OWNED IDENTIFIED SHOPS — WOMEN / MINORITY-OWNED,,,,,,,,,,,,,,,,,,,,,
51,R+E Auto Repair,Spring-The Woodlands TX,YES — Spring TX; outside all defined field corridors,HIGH,A,"POSSIBLE DVI platform — ""photo-backed digital inspections sent straight to your phone"" confirmed on website; verify platform on visit","930 Rayford Rd, Spring TX 77386","(832) 585-0229 (verified) | Note: field CSV lists 832-735-0373 — verify on call",Info@reautorepair.com ✅,reautorepair.com ✅,"Instagram: @randeautorepair","Elad (husband/master mechanic per site bio); wife is owner (name TBD)","Full-service general repair; woman-owned; veteran-operated; since 2012","2012 (14 yrs)",TBD,"Woman-owned (wife) and veteran-operated (husband Elad — military background). Uses ""photo-backed digital inspections sent straight to your phone"" — active DVI-adjacent platform already in practice. Online scheduling live. Warranty options: 3-month to lifetime. Serves Spring and The Woodlands. 27 CARFAX verified reviews; 5.0 rating. Discounts for veterans; first responders; teachers; and individuals with disabilities. Phone number discrepancy between field CSV and verified directories — confirm on first call.","D8 (DVI auth gap — they capture the inspection but does the platform document the full quote-to-bill trail after the DVI closes?); D1 (quote escalation at scope revision mid-repair); D10 (comm breakdown between DVI approval and final bill)","Email Info@reautorepair.com → Phone","Shop already runs a DVI workflow. The gap is what happens between the DVI close and the final bill. uMODA is the authorization trail that lives in that gap — complementing not replacing their existing platform. Veteran-operator angle also creates peer connection with uMODA team if applicable.","'We noticed your website mentions photo-backed digital inspections sent straight to customers — we're building the authorization layer that documents what happens between that DVI approval and the final bill. Would you have 15 minutes?'","DVI workflow gap conversation — closest behavioral match to TekMetric outside TM user list; veteran-operator community connection; woman-owned segment peer narrative; authorization trail extension; online scheduling already in place"
